Key,English,Russian
challenge15ZombieSubtitle,"Find and kill specified animals","Найдите и убейте животных из списка"
challenge15ZombieOffer,"Найдите и убейте животных из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Кабан-мутант - [228B22]1","Найдите и убейте животных из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Кабан-мутант - [228B22]1"

challenge16Zombie,"Испытание 16: По восходящей","Испытание 16: По восходящей"
challenge16ZombieDesc,"Испытание: По восходящей.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: По восходящей.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge16ZombieName,"По восходящей","По восходящей"
challenge16ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge16ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Гнойный труп - [228B22]5 \n[CD7F32]Дикий гнойный труп - [228B22]5 \n[CD7F32]Облученный гнойный труп - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Гнойный труп - [228B22]5 \n[CD7F32]Дикий гнойный труп - [228B22]5 \n[CD7F32]Облученный гнойный труп - [228B22]5"

challenge17Zombie,"Испытание 17: Гнилая семейка","Испытание 17: Гнилая семейка"
challenge17ZombieDesc,"Испытание: Гнилая семейка.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Гнилая семейка.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge17ZombieName,"Гнилая семейка","Гнилая семейка"
challenge17ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge17ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий турист - [228B22]5 \n[CD7F32]Дикая толстуха - [228B22]5 \n[CD7F32]Дикий Том Кларк - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий турист - [228B22]5 \n[CD7F32]Дикая толстуха - [228B22]5 \n[CD7F32]Дикий Том Кларк - [228B22]5"

challenge18Zombie,"Испытание 18: Пацаны с района","Испытание 18: Пацаны с района"
challenge18ZombieDesc,"Испытание: Пацаны с района.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Пацаны с района.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge18ZombieName,"Пацаны с района","Пацаны с района"
challenge18ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge18ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий скейтер-зомби - [228B22]5 \n[CD7F32]Дикий труп - [228B22]5 \n[CD7F32]Дикий Том Кларк - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий скейтер-зомби - [228B22]5 \n[CD7F32]Дикий труп - [228B22]5 \n[CD7F32]Дикий Том Кларк - [228B22]5"

challenge19Zombie,"Испытание 19: Ниже пояса","Испытание 19: Ниже пояса"
challenge19ZombieDesc,"Испытание: Ниже пояса.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Ниже пояса.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge19ZombieName,"Ниже пояса","Ниже пояса"
challenge19ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge19ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий ползающий зомби - [228B22]15","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий ползающий зомби - [228B22]15"

challenge20Zombie,"Испытание 20: Пьянство, разврат и собачки","Испытание 20: Пьянство, разврат и собачки"
challenge20ZombieDesc,"Испытание: Пьянство, разврат и собачки.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Пьянство, разврат и собачки.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge20ZombieName,"Пьянство, разврат и собачки","Пьянство, разврат и собачки"
challenge20ZombieSubtitle,"Find and kill specified enemies","Найдите и убейте противников из списка"
challenge20ZombieOffer,"Найдите и убейте противников из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий байкер - [228B22]5 \n[CD7F32]Безумная тусовщица - [228B22]5 \n[CD7F32]Зомби-собака - [228B22]5","Найдите и убейте противников из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий байкер - [228B22]5 \n[CD7F32]Безумная тусовщица - [228B22]5 \n[CD7F32]Зомби-собака - [228B22]5"

challenge21Zombie,"Испытание 21: Конкурс мерзоты","Испытание 21: Конкурс мерзоты"
challenge21ZombieDesc,"Испытание: Конкурс мерзоты.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Конкурс мерзоты.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge21ZombieName,"Конкурс мерзоты","Конкурс мерзоты"
challenge21ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge21ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий мутант - [228B22]5 \n[CD7F32]Упырь - [228B22]5 \n[CD7F32]Дикий паук - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий мутант - [228B22]5 \n[CD7F32]Упырь - [228B22]5 \n[CD7F32]Дикий паук - [228B22]5"

challenge22Zombie,"Испытание 22: Охотничьи будни","Испытание 22: Охотничьи будни"
challenge22ZombieDesc,"Испытание: Охотничьи будни\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Охотничьи будни\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge22ZombieName,"Охотничьи будни","Охотничьи будни"
challenge22ZombieSubtitle,"Find and kill specified animals","Найдите и убейте животных из списка"
challenge22ZombieOffer,"Найдите и убейте животных из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Кабан - [228B22]3 \n[CD7F32]Медведь - [228B22]3 \n[CD7F32]Самка оленя - [228B22]3 \n[CD7F32]Пума - [228B22]3 \n[CD7F32]Ужасный волк - [228B22]3","Найдите и убейте животных из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Кабан - [228B22]3 \n[CD7F32]Медведь - [228B22]3 \n[CD7F32]Самка оленя - [228B22]3 \n[CD7F32]Пума - [228B22]3 \n[CD7F32]Ужасный волк - [228B22]3"

challenge23Zombie,"Испытание 23: Шальные императрицы","Испытание 23: Шальные императрицы"
challenge23ZombieDesc,"Испытание: Шальные императрицы.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Шальные императрицы.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge23ZombieName,"Шальные императрицы","Шальные императрицы"
challenge23ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge23ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученная чумная санитарка - [228B22]5 \n[CD7F32]Облученная покойница - [228B22]5 \n[CD7F32]Облученная тусовщица - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Облученная чумная санитарка - [228B22]5 \n[CD7F32]Облученная покойница - [228B22]5 \n[CD7F32]Облученная тусовщица - [228B22]5"

challenge24Zombie,"Испытание 24: Размер имеет значение","Испытание 24: Размер имеет значение"
challenge24ZombieDesc,"Испытание: Размер имеет значение.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Размер имеет значение.\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge24ZombieName,"Размер имеет значение","Размер имеет значение"
challenge24ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
challenge24ZombieOffer,"Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий турист - [228B22]5 \n[CD7F32]Облученный лесоруб - [228B22]5 \n[CD7F32]Облученная толстуха - [228B22]5","Найдите и убейте зомби из списка.\nОграничений по времени или локации - нет.\nКвест одиночный. Убийство от ловушек НЕ считается.\n\n[CD7F32]Дикий турист - [228B22]5 \n[CD7F32]Облученный лесоруб - [228B22]5 \n[CD7F32]Облученная толстуха - [228B22]5"

challenge25Zombie,"Испытание 25: Гоп-стоп","Испытание 25: Гоп-стоп"
challenge25ZombieDesc,"Испытание: Гоп-стоп\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается.","Испытание: Гоп-стоп\n\nПобедите врагов и получите награду. Квест - одиночный. Ограничений по времени или локации - нет.\n\nУбийство от ловушек НЕ считается."
challenge25ZombieName,"Гоп-стоп","Гоп-стоп"
challenge25ZombieSubtitle,"Find and kill specified zombies","Найдите и убейте зомби из списка"
