Key,Source,Context,Changes,English,Russian
challenge9ZombieDesc,item,,,Challenge - Takin' Care Of Business. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Взять все дела на себя.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge10Zombie,item,,,Challenge 10,"Испытание 10 - Вот идёт мой герой"
challenge10ZombieDesc,item,,,Challenge - There Goes My Hero. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Вот идёт мой герой.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge11Zombie,item,,,Challenge 11,"Испытание 11 - Как птичка"
challenge11ZombieDesc,item,,,Challenge - I'm like a bird. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Как птичка.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge12Zombie,item,,,Challenge 12,"Испытание 12 - Неожиданная мутация"
challenge12ZombieDesc,item,,,Challenge - Unexpected Mutation. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Неожиданная мутация.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge13Zombie,item,,,Challenge 13,"Испытание 13 - Кто спустил псов с цепи?"
challenge13ZombieDesc,item,,,Challenge - Who Let The Dogs Out. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Кто спустил псов с цепи?\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge14Zombie,item,,,Challenge 14,"Испытание 14 - Все собаки попадают в рай"
challenge14ZombieDesc,item,,,Challenge - All Dogs Go To Heaven. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Все собаки попадают в рай.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge15Zombie,item,,,Challenge 15,"Испытание 15 - Свиномутантик"
challenge15ZombieDesc,item,,,Challenge - Mutated Porker. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Свиномутантик.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge16Zombie,item,,,Challenge 16,"Испытание 16 - Дамы из маленького города"
challenge16ZombieDesc,item,,,Challenge - Just A Small Town Girl 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Дамы из маленького города.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge17Zombie,item,,,Challenge 17,"Испытание 17 - Трое по триста"
challenge17ZombieDesc,item,,,Challenge - The Three Stooges 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Трое по триста.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge18Zombie,item,,,Challenge 18,"Испытание 18 - Скейтер без доски"
challenge18ZombieDesc,item,,,Challenge - He Was A Skater Boy 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Скейтер без доски.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge19Zombie,item,,,Challenge 19,"Испытание 19 - Девочки очень хотят развлечься"
challenge19ZombieDesc,item,,,Challenge - Girls Just Wanna Have Fun 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Девочки очень хотят развлечься.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge20Zombie,item,,,Challenge 20,"Испытание 20 - Трудимся на удалёнке"
challenge20ZombieDesc,item,,,Challenge - Work From Home 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Трудимся на удалёнке.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge21Zombie,item,,,Challenge 21,"Испытание 21 - Дикий и страстный"
challenge21ZombieDesc,item,,,Challenge - Born To Be Wild 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Дикий и страстный.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge22Zombie,item,,,Challenge 22,"Испытание 22 - Всё будет хорошо!"
challenge22ZombieDesc,item,,,Challenge - Dont Worry Be happy 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Всё будет хорошо!\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge23Zombie,item,,,Challenge 23,"Испытание 23 - Прыг-скок"
challenge23ZombieDesc,item,,,Challenge - Jump! Jump! Jump! 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Прыг-скок.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge24Zombie,item,,,Challenge 24,"Испытание 24 - Я с этим справлюсь"
challenge24ZombieDesc,item,,,Challenge - Takin' Care Of Business 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Я с этим справлюсь.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge25Zombie,item,,,Challenge 25,"Испытание 25 - Куда подевался мой принц?"
challenge25ZombieDesc,item,,,Challenge - There Goes My Hero 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Куда подевался мой принц?\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge26Zombie,item,,,Challenge 26,"Испытание 26 - Мутирует без предупреждения"
challenge26ZombieDesc,item,,,Challenge - Unexpected Mutation 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Мутирует без предупреждения.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge27Zombie,item,,,Challenge 27,"Испытание 27 - Псы на свободе"
challenge27ZombieDesc,item,,,Challenge - Who Let The Dogs Out 2. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Псы на свободе.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge28Zombie,item,,,Challenge 28,"Испытание 28 - Деревенские красавицы"
challenge28ZombieDesc,item,,,Challenge - Just A Small Town Girl 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Деревенские красавицы.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge29Zombie,item,,,Challenge 29,"Испытание 29 - Трое из ларца"
challenge29ZombieDesc,item,,,Challenge - The Three Stooges 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Трое из ларца.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge30Zombie,item,,,Challenge 30,"Испытание 30 - Уличные выкрутасы"
challenge30ZombieDesc,item,,,Challenge - He Was A Skater Boy 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Уличные выкрутасы.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge31Zombie,item,,,Challenge 31,"Испытание 31 - Девочки хотят не просто развлечься"
challenge31ZombieDesc,item,,,Challenge - Girls Just Wanna Have Fun 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Девочки хотят не просто развлечься.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge32Zombie,item,,,Challenge 32,"Испытание 32 - Домашние дела"
challenge32ZombieDesc,item,,,Challenge - Work From Home 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Домашние дела.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge33Zombie,item,,,Challenge 33,"Испытание 33 - Дикий и неотёсанный"
challenge33ZombieDesc,item,,,Challenge - Born To Be Wild 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Дикий и неотёсанный.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge34Zombie,item,,,Challenge 34,"Испытание 34 - Не парься!"
challenge34ZombieDesc,item,,,Challenge - Dont Worry Be Happy 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Не парься!\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge35Zombie,item,,,Challenge 35,"Испытание 35 - Распрыжка"
challenge35ZombieDesc,item,,,Challenge - Jump! Jump! Jump! 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Распрыжка.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge36Zombie,item,,,Challenge 36,"Испытание 36 - Мастер решать вопросы"
challenge36ZombieDesc,item,,,Challenge - Takin' Care Of Business 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Мастер решать вопросы.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge37Zombie,item,,,Challenge 37,"Испытание 37 - Горячие герои"
challenge37ZombieDesc,item,,,Challenge - There Goes My Hero 3. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Горчие герои.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge38Zombie,item,,,Challenge 38,"Испытание 38 - Бро Упырь и его друзья"
challenge38ZombieDesc,item,,,Challenge - The Wight Brothers. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Бро Упырь и его друзья.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge39Zombie,item,,,Challenge 39,"Испытание 39 - Три маленькие свинки"
challenge39ZombieDesc,item,,,Challenge - Three Little Pigs. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Три маленькие свинки.\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge40Zombie,item,,,Challenge 40,"Испытание 40 - Омедведительно!"
challenge40ZombieDesc,item,,,Challenge - Un-BEAR-Able. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Омедведительно!\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge41Zombie,item,,,Challenge 41,"Испытание 41 - Дамы на ринге"
challenge41ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- It's About To Be A...Girl Fight. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Дамы на ринге.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge42Zombie,item,,,Challenge 42,"Испытание 42 - Роковая женщина"
challenge42ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Femme Fatale. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Роковая женщина.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge43Zombie,item,,,Challenge 43,"Испытание 43 - Ритмичная зачистка"
challenge43ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Clean Up On Aisle 5. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Ритмичная зачистка.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge44Zombie,item,,,Challenge 44,"Испытание 44 - Сыны анархии"
challenge44ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Sons Of Anarchy. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Сыны анархии.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge45Zombie,item,,,Challenge 45,"Испытание 45 - Больше не мой герой"
challenge45ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- No Longer My Hero. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Больше не мой герой.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge46Zombie,item,,,Challenge 46,"Испытание 46 - Возвращение Агента Орифлэйм"
challenge46ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- The Return Of Agent Smith. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Возвращение Агента Орифлэйм.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge47Zombie,item,,,Challenge 47,"Испытание 47 - Не DOOMай, стреляй"
challenge47ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Warriors Of Hell. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Не DOOMай, стреляй.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge48Zombie,item,,,Challenge 48,"Испытание 48 - Волчья пачка"
challenge48ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- The Wolf Pack. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Волчья пачка.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge49Zombie,item,,,Challenge 49,"Испытание 49 - Кокосовые медведи"
challenge49ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Cocaine Bears. Win and claim your prize.  It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Кокосовые медведи.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge50Zombie,item,,,Challenge 50,"Испытание 50 - Гала-концерт"
challenge50ZombieDesc,item,,,[FF0000]Ultimate Challenge [FFFFFF]- Ultimate Showdown. Win and claim your prize. It is recommended to bring back up. This quest cannot be shared. Good Luck,"[FF0000]Особое испытание [FFFFFF]- Гала-концерт.\n\nПобедите и заберите свой приз. Рекомендуется подготовиться. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge51Zombie,item,,,Challenge 51,"Испытание 51 - Ночной кусь"
challenge51ZombieDesc,item,,,Challenge - Night Bite. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Ночной кусь\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
challenge52Zombie,item,,,Challenge 52,"Испытание 52 - Цирковое представление"
challenge52ZombieDesc,item,,,Challenge - Circus performance. Win and claim your prize. This quest cannot be shared. Good Luck,"Испытание - Цирковое представление\n\nПобедите и заберите свой приз. Квест - одиночный, им нельзя поделиться.\n\nЗасчитываются убийства только от руки игрока-обладателя квеста, а не от ловушек или других игроков. Удачи!"
